original_sentence,nearest_neighbor,cosine_similarity
કોંગ્રેસના વરિષ્ઠ નેતા મોતીલાલ વોરાનું 93 વર્ષની ઉંમરમાં સોમવારે નિધન થયું છે.,ગઇ કાલે જ મોતીલાલ વોરાનો જન્મદિવસ હતો.,0.1828
અમુક લોકો કહી રહ્યા છે કે અસદુદ્દીન ઓવૈસની ઑલ ઇન્ડિયા ઈત્તેહાદુલ મુસ્લિમીન પાર્ટી મમતા બેનરજીની જીતમાં અવરોધ ઉભો કરી શકે છે.,જ્યારે અમુક લોકો સુનીલને જોરદાર ટ્રોલ કરી રહ્યા છે.,0.1322
૯૮ કરોડની બાકી રકમ ભરી ન શકવાને કારણે હરાજી રદ કરવામાં આવી હતી.,શુક્રવારે એક પ્લોટ માટે ઇ હરાજી રખાઈ હતી.,0.1831
ત્યાં ઘણા વિવિધ વિકલ્પો છે: .,.,0.3631
"ગૃહમંત્રાલયના અધિકારી તરીકે સુધીર ઘોષની ફરજ તેમનાં રહેવા-જમવાની સુવિધા જાળવવા પૂરતી સીમિત હતી, પરંતુ સુધીર ઘોષે વિચાર કર્યો કે સરકાર દરરોજના સરાસરી એક રૂ પિયા લેખે આ લોકો પાછળ જે ખર્ચ કરે છે તે રકમ મહિને ૧૨ લાખ જેવી થાય.","તેજસ પટેલે, ન્યુરોલોજીસ્ટ સુધીર પટેલ આંખના સર્જન ડો.",0.1424
ગુજરાત પેટા ચૂંટણીમાં બપોર પછી ગ્રામ્ય વિસ્તારના મતદારોમાં ઉત્સાહ જોવા મળ્યો.,26 ટકાની સરખામણીએ એક ટકાનો ઘટાડા જોવા મળ્યો.,0.1860
..,..,1.0000
છેલ્લાં ૨૫થી વધુ વર્ષોની માસિક ટકાવારીમાં ફેરફારની વાર્ષિક વધઘટ ગણત્રીમાં લેતાં ભારતીય રૂપિયાની વાર્ષિક વધઘટ અંદાજે ૮.,૮.,0.2164
બીએસઇના મિડકેપ ઈન્ડેક્સ 0.,નિફ્ટીના મિડકેપ 100 ઇન્ડેક્સમાં 0.,0.4013
જેમાં આ વિષયક નિષ્ણાંતો કિરણ અવાસીયા તથા અરૂણ દવેએ ચર્ચામાં ભાગ લીધો હતો.,પ્રદુષણને કારણે કાર્બન ડાયોકસાઈડનું પ્રમાણ વધતા કેન્સર જેવા રોગો વધે છે તેમ ચર્ચામાં તજજ્ઞ અરૂણ દવેએ જણાવેલ હતું.,0.2280
એકતરફ બેફામ કાળજાળ ગરમી છે.,"૮ ડિગ્રી ગરમી નોંધાઇ હતી, જે છેલ્લા પાંચ વર્ષમાં માર્ચમાં નોંધાયેલી સૌથી વધુ ગરમી છે.",0.2182
નીરજ અને તેમના સહયોગી માઇકલ ડોનોહ્યૂએ (Michael Donohue) મળીને HalloApp વિક્સાવી છે.,નીરજ અરોડાએ ખૂદ આ એપ વિશેની માહિતી ટ્વીટરના માધ્યમથી આપી છે.,0.0858
સતત પ્રકાશની અવધિ 7-8 કલાક છે Sneakers ધખધખવું રંગ બદલવા માટે સક્ષમ છે.,૯ ડિગ્રી તાપમાન સતત ૫૧ કલાક સુધી રહ્યું એ એક વિક્રમ છે.,0.1182
64 સેન્ટીમીટરની ટચસ્ક્રીન ઇન્ફોટેન્ટમેન્ટ સીસ્ટમ આપવામાં આવી છે.,એક અહેવાલ મુજબ જે વ્યક્તિની ઈમ્યુનિટી સીસ્ટમ સારી હશે તે વ્યક્તિને કોરોના થવાની શક્યતા ઘણી ઓછી હોય છે.,0.1353
"મોટા નુકસાન પછી, આત્મવિશ્વાસ ઓછી હોઈ શકે છે.",30 ટકા સુધી હોઈ શકે છે.,0.2910
દર વખતે ચોમાસા દરમિયાન આ જ પ્રકારની સ્થિતિ સુરત શહેરમાં જોવા મળતી હોય છે.,સુરત અને વેપાર,0.1985
બાકી તો પાડા પર પાણી રેડવા સમાન ચામડીના બની ગયા છે આવા બંદરોના અધિકારીગણ.,સમાન હોવું જોઈએ.,0.1209
આવા પગલાથી વોડાફોન આઈડિયા જેવી ટેલિકોમ કંપનીઓને ઘણી રાહત મળશે જેમના હજારો કરોડ રૂપિયાના ભૂતકાળના વૈધાનિક લેણાં છે.,ટેલિકોમ અંગે સરકારના નિર્ણયની સૌથી વધારે લાભ વોડાફોન,0.2274
"તે જ વર્ષે અમેરિકામાં $ 32,000 થી 83,000 ડોલરની વચ્ચેનો પગાર.","બીજા શબ્દોમાં કહીએ તો, તેના પોર્ટફોલિયોમાં 1,000,000 ડોલરની મૂડીરોકાણ હવે મૂર્ખામીભર્યું ગણાય છે, જો તે 30,000 ડોલરની નવી સલામત સલાહકાર વકીલના સ્થાને અગાઉ સલામત $ 40,000 ખેંચી લે છે.",0.1590
કોને મળશે યોજનાનો લાભ,ત્યારે આપ પાર્ટી કોને નડે અને કોને ફાયદો કરાવશે તે તરફ મીટ મંડાઇ છે.,0.2990
0’માં જોવા મળશે.,સારા સમાચાર મળશે.,0.2088
આપણાં શાસ્ત્રોમાં ધનતેરસ વિશે ઘણીબધી ચર્ચા કરવામાં આવેલી છે.,આ બેઠકમાં પ્રવર્તમાન રાજકીય સ્થિતિ વિશે ચર્ચા કરવામાં આવી હતી.,0.2066
"તેઓ મેમરી, સમજશક્તિ, અમને આસપાસ મન અને વિશ્વના દ્રષ્ટિ વ્યાપક તાલીમ!",વ્યાપક દબાણ છે,0.1737
સામાન્ય રીતે અફઘાનિસ્તાનમાંથી દેશમાં ડ્રાયફ્રૂટની આયાત થાય છે.,સામાન્ય રીતે ઇન્ટ્યુબેશન કેવી રીતે થાય છે,0.2180
એક જ માણસ એને ફૂલ આપે છે.,કોઈ માણસ જો સપનામાં ચેક લખીને આપે છે તો એને વિરાસતમાં ધન તો મળે છે જ છે સાથે જ એને ધંધામાં ફાયદા પણ હોય છે.,0.4093
આ વચ્ચે ભારતીય વિદેશ મંત્રાલયે નિત્યાનંદનો પાસપોર્ટ પણ રદ્દ કરી નાખ્યો છે અને પોતાની બધી જ એમ્બેસીઓને તેની અવરજવર પર નજર રાખવાનું કહેવામા આવ્યું છે.,તેની વેબસાઈટ પણ છે અને કાયદેસર પાસપોર્ટ પણ રજૂ કરવામાં આવ્યો છે.,0.1893
વ.,વ.,1.0000
આ બંગલો મુંબઈના ઓફ પેડર રોડ પર અલ્ટામાઉન્ડ રોડ પર આવેલો છે.,દત્ત રોડ,0.2244
અમિત શાહ રક્ષાબંધનના પર્વ નિમિતે અમદાવાદ આવ્યા હતા.,તેમજ ગૃહપ્રધાન અમિત શાહ અમદાવાદ કલેક્ટર સાથે પણ બેઠક યોજશે રક્ષાબંધનના પર્વ નિમિત્તે અમદાવાદ આવ્યા હતા અમિત શાહ કેન્દ્રીય ગૃહપ્રધાન અમિત શાહના ગુજરાત પ્રવાસને લઇને ભાજપના કાર્યકરો અને સરકારમાં ઉત્સાહનો માહોલ છે.,0.5098
ત્યારબાદ હોસ્પિટલનું અવલોકન કર્યું હતું.,અને હવામાન માર્ચ સુધી આયોજન કર્યું હતું.,0.2038
35 (3) નીતીન કમલેશભાઇ લાખાણી ઉ.,ઉ.,0.3379
"ચૌહાણ, એ.",એ.,0.6068
આવનારા સમયમાં રેલ્વે સ્ટેશનના બ્યુટીફીકેશનની યોજના હેઠળ અન્ય ઘણા રેલ્વે સ્ટેશનને સુંદર બનાવી અતિ મોર્ડન ફેસીલીટી મુસાફરોને મળે એવું આયોજન કરવામાં આવશે.,ભારતીય રેલ્વે અને આઈઆરસીટીસી દ્વારા સંચાલિત આ ટ્રેનને ચલાવવાનું નક્કી કરવામાં આવ્યું છે.,0.1553
આ મંદિરની આજુબાજુના લીલાછમ લીલા બગીચા તમને અહીં સ્થાયી થવા મજબુર કરે છે.,ગુજરાતમાં સૂકાપ્રદેશોને લીલાછમ બનાવવા માટે વ્યાપક પ્રમાણમાં કામ કરવામાં આવ્યું છે.,0.1896
"ગુજરાત કિસાન સેલના અધ્યક્ષ પાલ આંબલિયાએ એવો આક્ષેપ કર્યો હતોકે, સ્થાનિક સ્વરાજની ચૂંટણી વખતે જ ખાતરનો ભાવવધારો કરી દેવાયો હતો પણ ખુદ કૃષિ મંત્રી આર.",આર.,0.1714
આમાંથી કોઈ પણ સારા નથી.,તમે આમાંથી કોઈ એક બહાનું ચૂઝ કરી શકો,0.3572
૧૯ : અફઘાનિસ્તાનની પરિસ્થિતિની અસર ભારત દેશના માર્કેટ પર જોવા મળી રહી છે.,૧૯,0.3429
હાલ પાર્ટીનું સુકાન તેમની માતા સોનિયા ગાંધી સંભાળી રહ્યા છે.,રાહુલ ગાંધી અંગે તેમણે કહ્યું કે રાહુલ ગાંધી ખુદ કોંગ્રેસ માટે એક મોટો સવાલ બની ગયા છે.,0.1642
તે બગીચામાં સંસ્કૃતિ તરીકે વાવેતર માટે ભલામણ કરી છે.,એટલા માટે તે પહેલાં તમે નિષ્ણાત સલાહ લો ભલામણ દવાઓ ઉપયોગ કરે છે.,0.2045
જેના કારણે ડ્રાયફ્રૂટના ભાવમાં ૫થી લઈ ૧૨ ટકાનો વધારો થયો છે.,સેનેટાઇઝરની વધેલી માંગના કારણે આલ્કોહલના ભાવમાં પણ 10 ટકાનો વધારો થયો છે.,0.2719
"આ ઠેકાઓ પરથી લીમડી તેમજ ઝાલોદના બૂટલેગરો વિદેશી દારૃનો મોટાપાયે જથ્થો ખરીદી મહિસાગર, હાલોલ, ગોધરા, આણંદ, નડિયાદ અને વડોદરા શહેર-જિલ્લામાં ઠાલવે છે.","રાજસ્થાનના બિચ્છુવાડાથી શામળાજી બોર્ડર થઈ હિંમતનગર, ગાંધીનગર અને અમદાવાદમાં બૂટલેગર સુનિલ, વિનોદ, દિલીપ અને રબારી દ્વારા મોટાપાયે દારૃનો જથ્થો ઠલવાય છે.",0.1413
મુંબઇ તા.,તા.,0.5753
તેમ છતાંપણ આ અભિનેત્રીને લાખો લોકો પસંદ કરે છે.,આ રાશિના લોકો આજે લોકો સાથે વાત કરવાને બદલે એકાંતમાં સમય પસાર કરવાનું પસંદ કરશે.,0.1700
બાળકના કલ્યાણ પ્રથમ સ્થાને માતાપિતા માટે જ હોવી જોઈએ.,"સંશોધન સાથે, પ્રથમ જ એક સુવ્યવસ્થિત માર્કેટિંગ યોજના હોવી જરૂરી છે.",0.2245
બધા વ્યવસાયો સારા લાંબા ગાળાના રોકાણોની નથી બનાવો,હવે સરળ સમજૂતી માટે: મ્યુચ્યુઅલ ફંડને રોકાણોની બાસ્કેટ ગણવામાં આવે છે.,0.2171
આઇ.,આઇ.,1.0000
"સતત ઝટકવું સાથે પ્રવાહી ઘટકો stirring, તેમને sifted લોટ, એક કેરી રેડવાની અને પકવવા પાવડર ઉમેરો.","ઇંડાને ખાંડ, સફેદ સાથે લઇ જઇને પછી મિશ્રણમાં કીફિર, માખણ અને કોકો પાવડર ઉમેરો.",0.1543
દુઃખી છે અનુપમ ખેર,ભારતનાં આ પ્રદર્શનથી અમે બધા દુઃખી છીએ.,0.2520
આઇ એચ જી ભરવાડ તેમજ તેમની ટીમોએ તપાસ આદરી હતી.,આ સમયે તેમની દીકરી પણ તેમની સાથે હતી.,0.1812
હવે કમિન્સ ફરીથી ટીમની આગેવાની સંભાળશે.,ટીમમાં મહેન્દ્ર સિંહ ધોનીને સ્થાન નથી મળ્યું અને ઋષભ પંત જ વિકેટકિપરની જવાબદારી સંભાળશે.,0.1567
પણ રોગ milder ફોર્મ આવા મ્યોકાર્ડિયલ ઇજાના નિશાન છે અને મગજમાં કોથળીઓને રચના તરીકે અપ્રિય પરિણામો તરફ દોરી જઇ શકે છે.,વ્યાપક નેક્રોસિસ જેમ ખતરનાક ચેપ bedsores બહુવિધ શક્ય જોડાણ તરીકે ગંભીર ગૂંચવણોના તરફ દોરી જઇ શકે છે.,0.1568
આગને પગલે જાણ કરાતાં અમદાવાદ ફાયર એન્ડ ઇમરજન્સી સર્વિસના ચીફ ફાયર ઓફિસર એડી ચીફ ફાયર ઓફિસર સહિત 40 જેટલા ફાયર જવાનો 17 જેટલા ફાયર ફાયટર સાથે ઘટના સ્થળે પહોંચી ગયા છે અને આગ પર કાબુ મેળવવા પ્રયાસ કરી રહ્યા છે.,આ અંગે સ્થાનિક લોકો દ્વારા પોલીસ અને ફાયર વિભાગને જાણકારી આપતા ફાયર દ્વારા આગ પર કાબુ મેળવી રાહતનો શ્વાસ લીધો હતો.,0.3828
"કોરોના વાયરસના કારણે લાગુ થયેલા લોકડાઉન દરમ્યાન મનોવૈજ્ઞાનિક પડકાર ને પાર પાડવા માટે, તેણે ગત વર્ષે ક્રિકેટમાં પોતાનો હાથ અજમાવવો શરુ કર્યો હતો.",વિશ્વની વાત કરીએ તો ગુરુવારે કોરોના વાયરસના કારણે મૃતકોની સંખ્યા 90 હજારને પાર પહોંચી ગઈ છે.,0.1667
એસ.,એસ.,1.0000
દર કલાકે દુષિત પાણીથી બાળકનું મોત થાય છે.,બાળકનું કાર્ય તે નક્કી કરવા માટે છે.,0.2825
નવી દિલ્હી- ગુજરાત અને હિમાચલ પ્રદેશની વિધાનસભા ચૂંટણીમાં ભારતીય જનતા પાર્ટીએ જીત તો મેળવી લીધી છે પરંતુ હિમાચલ પ્રદેશમાં સીએમ પદના ઉમેદવાર પ્રેમકુમાર ધુમલ સહિતના પાર્ટીના વરિષ્ઠ નેતાઓ ચૂંટણી હારી જતાં ભાજપને જીતનો આ સ્વાદ થોડો ફિક્કો લાગ્યો.,ઉલ્લેખનીય છે કે દિલ્હીમાં લોકસભાની તમામ સાત બેઠકો પર ભારતીય જનતા પાર્ટીએ વિજય મેળવ્યો હતો.,0.1349
પી.,પી.,1.0000
ઈન્ડસ્ટ્રીના ગોડ ફાધર હતા રાજ કપૂર,અમે કપૂર છીએ.,0.2250
રિલાયન્સ રિટેલ x,"x ની મોટી મૂલ્યો માટે, તે બધા ગુમાવી શકાય છે.",0.3003
"૭પ) (નિવૃત જીઇબી એન્જીનીયર) તે હીરેશનભાઇ, ચેતનભાઇ ના પિતાશ્રીનું તા.",તા.,0.1564
દિલ્હીથી માંડ ૩૦ કિ.,કિ.,0.4724
નહી તો આવા બ્રીટીશરાજમાં રાચનારાઓ તો માની લેશે કે આપણે પણ તાડી વગાડનારાઓની જમાતમાં જ આવી ગયા છીએ.,માં કોરોના નહી લખ્યું હોય તો પણ સહાય,0.1425
ભારે વરસાદ અને સુરજ દેવતાના દર્શન દુર્લભ થવાને કારણે ગરમીનો પારો પણ ગગડીને 28 ડિગ્રી પર પહોંચી ગયો હતો.,આગામી ત્રણ દિવસ અમદાવાદમાં ગરમીનો પારો ૪૦ ડિગ્રીને પાર થાય તેવી પૂરી સંભાવના છે.,0.1916
"કેન્દ્રએ જણાવ્યું હતું કે 71માંથી 7 તબીબી રીતે અયોગ્ય છે, જ્યારે 25માં અનુશાસનહીનતાના ગંભીર કેસો છે અને તેમનું ગ્રેડિંગ નબળું છે.",રાજ્યસભા સાંસદ અને વરિષ્ઠ વકીલ રામ જેઠમલાણી અનુશાસનહીનતાના મુદ્દે મે 2013માં ભાજપ સરકારમાં કાઢી મુકવામાં આવ્યા હતા.,0.1789
શાળાની પરીક્ષાઓમાં ગણિતમાં ૯૯ જેટલા માર્કસ લાવનાર વિદ્યાર્થીઓને પણ બોર્ડનું ગણિતનંુ પેપર ખુબજ અઘરૂ પડયું હતું.,બીજીતરફ ત્રણ પેપર સરળ કાઢયા હોવાથી ગણિતનું પ્રશ્નપત્ર ખુબજ ટફ અને અઘરૂ મુકવશે નું શિક્ષક સહિત વિદ્યાર્થી આલમમાં મનાઈ રહ્યું હતું.,0.1842
ઓરિયન્ટ પેપર એન્ડ ઇન્ડ આ યાદીમાં અગ્રેસર છે જ્યાં સ્ટાફનો ખર્ચ 23 ગણો વધ્યો છે જ્યારે ડિરેક્ટર્સનો ખર્ચ 91 ગણો થયો છે.,કન્સાઇ નેરોલેકમાં છેલ્લા એક દાયકામાં સ્ટાફનો ખર્ચ સાત ગણો વધ્યો છે જ્યારે ડિરેક્ટર્સનો વેતનખર્ચ 23 ગણો વધ્યો છે.,0.5204
સાવજ એકમાત્ર એવું પ્રાણી છે કે જે સ્ટ્રેટેજી બનાવવામાં માસ્ટર છે.,અન્ય પ્રાણીઓની સરખામણીમાં સાવજ જે કોઈ શિકાર કરે છે તે સ્ટ્રેટેજીના ભાગરૂપે જ કરવામાં આવતું હોય છે.,0.2366
1 ઓક્ટોબરે કોર્ટે સરકારને કહ્યું હતું કે કોઈ પણ અધિકારીને સેવામાંથી મુક્ત ન કરો.,બીજી ઓક્ટોબરે .,0.2550
ગુજરાત પ્રદેશ ભાજપ દ્વારા અમિત શાહના આગમનને લઇને તૈયારીઓ પણ આરંભી દેવામાં આવી છે.,તેમજ ગૃહપ્રધાન અમિત શાહ અમદાવાદ કલેક્ટર સાથે પણ બેઠક યોજશે રક્ષાબંધનના પર્વ નિમિત્તે અમદાવાદ આવ્યા હતા અમિત શાહ કેન્દ્રીય ગૃહપ્રધાન અમિત શાહના ગુજરાત પ્રવાસને લઇને ભાજપના કાર્યકરો અને સરકારમાં ઉત્સાહનો માહોલ છે.,0.2499
તાંદલજા       ૬        ૦        ૨,૦ ફિલ્મમાં રજનીકાન્ત પાંચ ભુમિકાઓમાં દેખાશે.,0.2068
વરસાદનું આગમન થતાં જ લોકો તથા ધરતીપુત્રોમાં ખુશીનો માહોલ છવાયો છે.,પીએસઆઇ નું મોત થતા પોલીસવિભાગમાં શોકનો માહોલ છવાયો છે.,0.2157
પી.,પી.,1.0000
જ્યારે વાતાવરણમાં ભેજનું પ્રમાણ 84 ટકા નોંધાવા પામ્યું છે.,84 દિવસ થયો છે.,0.3137
